user_id,post_id,rating
1087,9862,0
1087,10090,1
1087,10612,1
1087,10627,1
1087,10682,1
1087,10698,1
1087,10707,1
1087,10729,1
1087,10818,1
1087,10915,1
1087,11024,1
1087,11029,1
1087,11087,1
1087,11098,1
1087,11188,1
1087,11341,0
1087,11371,1
1087,11375,1
1087,11383,1
1087,11392,1
1087,11469,1
1087,11489,1
1087,11511,1
1087,11639,1
1087,11661,1
1087,11726,1
1087,11741,1
1087,11742,1
1087,11746,1
1087,11764,1
1087,11778,1
1087,11780,1
1087,11789,1
1087,11809,1
1087,11851,1
1087,11926,1
1087,12002,1
1087,12008,1
1087,12029,1
1087,12034,1
1087,12038,1
1087,12062,1
1087,12070,1
1087,12077,1
1087,12080,1
1088,7892,1
1088,7905,1
1088,8685,1
1088,8778,1
1088,9089,1
1088,9550,1
1088,9604,1
1088,9844,1
1088,9943,1
1088,9944,1
1088,9951,1
1088,10075,1
1088,10090,1
1088,10112,1
1088,10120,1
1090,2148,1
1090,9386,1
1090,10375,1
1090,11082,1
1156,1612,1
1156,2664,1
1156,3744,1
1156,8598,1
1156,8663,1
1156,11658,1
1208,7727,1
1230,5109,1
1230,10375,1
1317,4440,1
1317,9638,1
1317,10116,1
1318,8537,1
1318,10643,1
1371,10392,1
1371,10401,1
1415,241,1
1415,1944,1
1415,10726,1
1454,4038,1
1455,1741,1
1455,8897,1
1455,9042,1
1455,9945,1
1455,10225,1
1455,11231,1
1455,11301,1
1456,960,1
1456,8874,1
1456,9386,1
1466,10859,1
1477,690,1
1536,2222,1
1536,6724,1
1536,9200,1
1536,9476,1
1544,2197,1
1544,5312,1
1544,10730,1
1544,11359,1
1555,9644,1
1555,9782,1
1555,9908,1
1558,10015,1
1565,9386,1
1565,9623,0
1565,9638,0
1574,7780,1
1574,9218,1
1574,9655,1
1634,7884,1
1730,7161,0
1912,1657,1
1912,1962,1
1912,2506,1
1912,3389,1
1912,3736,1
1912,4124,1
1912,4278,1
1912,4672,1
1912,5535,1
1912,6668,1
1912,7663,1
1912,8408,1
1912,8479,1
1912,9167,1
1912,9331,1
1912,9657,1
1912,9759,1
1912,9870,1
1912,9963,1
1912,10295,1
1912,10303,1
1912,10515,1
1912,10941,1
1912,11639,1
1912,11654,1
2145,9,1
2145,157,1
2145,274,1
2145,684,1
2145,723,1
2145,1039,1
2145,1273,1
2145,1742,1
2145,1788,1
2145,1884,1
2145,1913,1
2145,1946,1
2145,1983,1
2145,2026,1
2145,2066,1
2145,2068,1
2145,2664,1
2145,2715,1
2145,3062,1
2145,3111,1
2145,3195,1
2145,3566,1
2145,3712,1
2145,3741,1
2145,3759,1
2145,4118,1
2145,4166,1
2145,4409,1
2145,4737,1
2145,4936,1
2145,5033,1
2145,5151,1
2145,6151,1
2145,6668,1
2145,6992,1
2145,7154,1
2145,7410,1
2145,7528,1
2145,7620,1
2145,7736,1
2145,7769,1
2145,7798,1
2145,7930,1
2145,7944,1
2145,7963,1
2145,8082,1
2145,8094,1
2145,8247,1
2145,8337,1
2145,8395,1
2145,8481,1
2145,8670,1
2145,8695,1
2145,8917,1
2145,8920,1
2145,9200,1
2145,9384,1
2145,9481,1
2145,9520,1
2145,9548,1
2145,9557,1
2145,9581,1
2145,9644,1
2145,9775,1
2145,10002,1
2145,10020,1
2145,10230,1
2145,10328,1
2145,10438,1
2145,10481,1
2145,10642,1
2145,10645,1
2145,10744,1
2145,11012,1
2145,11032,1
2258,8712,1
2414,7727,1
2414,9638,1
2446,1146,0
2464,3822,1
2464,6492,1
2464,8211,1
2464,10601,1
2464,11286,1
2539,8086,1
2539,10859,1
2589,1004,1
2589,2222,1
2589,2251,1
2589,2664,1
2589,3707,1
2589,5109,1
2589,8874,1
2589,8986,1
2589,9042,1
2589,9052,1
2589,9100,1
2589,9386,1
2589,9476,1
2589,9548,1
2590,812,1
2590,4267,1
2590,4614,1
2590,4939,1
2590,4947,0
2590,7047,1
2590,7252,1
2590,7740,1
2590,8298,1
2590,8779,1
2590,9042,1
2590,9481,1
2590,9644,1
2590,9840,0
2590,10000,1
2590,10608,1
2590,10675,1
2590,11218,1
2590,11301,1
2590,11389,1
2590,11490,1
2590,11794,0
2671,1860,1
2671,6652,1
2671,6791,1
2671,8027,1
2671,8598,1
2671,9020,1
2671,9635,1
2671,9644,1
